validation loss: 10.9499
step  199 | loss: 6.107359| lr 5.9986e-04  |norm: 0.5061 | dt: 5925.51ms| tok/sec 88479.75
validation loss: 6.1239
step  200 | loss: 6.120755| lr 5.9986e-04  |norm: 0.4147 | dt: 7475.71ms| tok/sec 70132.16
step  201 | loss: 6.101095| lr 5.9986e-04  |norm: 0.4513 | dt: 5893.69ms| tok/sec 88957.55
step  202 | loss: 6.104821| lr 5.9986e-04  |norm: 0.3227 | dt: 5858.18ms| tok/sec 89496.74
step  203 | loss: 6.086703| lr 5.9986e-04  |norm: 0.3534 | dt: 5928.11ms| tok/sec 88440.99
step  204 | loss: 6.080754| lr 5.9985e-04  |norm: 0.3803 | dt: 6066.47ms| tok/sec 86423.87
step  205 | loss: 6.100777| lr 5.9985e-04  |norm: 0.3670 | dt: 5992.81ms| tok/sec 87486.23
step  206 | loss: 6.103868| lr 5.9985e-04  |norm: 0.4803 | dt: 5916.62ms| tok/sec 88612.69
step  207 | loss: 6.080698| lr 5.9985e-04  |norm: 0.3344 | dt: 5971.20ms| tok/sec 87802.74
step  208 | loss: 6.034120| lr 5.9985e-04  |norm: 0.3834 | dt: 5843.15ms| tok/sec 89727.02
step  209 | loss: 5.980030| lr 5.9985e-04  |norm: 0.3168 | dt: 5842.53ms| tok/sec 89736.44
step  210 | loss: 6.016021| lr 5.9985e-04  |norm: 0.4576 | dt: 5850.26ms| tok/sec 89617.86
step  211 | loss: 6.060744| lr 5.9984e-04  |norm: 0.4126 | dt: 5862.28ms| tok/sec 89434.15
step  212 | loss: 6.067459| lr 5.9984e-04  |norm: 0.4795 | dt: 5870.40ms| tok/sec 89310.39
step  213 | loss: 6.050457| lr 5.9984e-04  |norm: 0.4127 | dt: 5939.44ms| tok/sec 88272.25
step  214 | loss: 6.042062| lr 5.9984e-04  |norm: 0.3767 | dt: 5922.79ms| tok/sec 88520.41
step  215 | loss: 6.048387| lr 5.9984e-04  |norm: 0.4172 | dt: 5904.59ms| tok/sec 88793.28
step  216 | loss: 6.001634| lr 5.9984e-04  |norm: 0.5015 | dt: 5884.83ms| tok/sec 89091.42
step  217 | loss: 6.019148| lr 5.9984e-04  |norm: 0.5183 | dt: 5865.19ms| tok/sec 89389.79
step  218 | loss: 5.987296| lr 5.9983e-04  |norm: 0.4533 | dt: 5833.41ms| tok/sec 89876.79
step  219 | loss: 5.977735| lr 5.9983e-04  |norm: 0.4057 | dt: 5885.10ms| tok/sec 89087.43
step  220 | loss: 5.945127| lr 5.9983e-04  |norm: 0.4224 | dt: 5861.96ms| tok/sec 89439.08
step  221 | loss: 5.945982| lr 5.9983e-04  |norm: 0.3492 | dt: 5922.02ms| tok/sec 88531.92
step  222 | loss: 5.972107| lr 5.9983e-04  |norm: 0.3923 | dt: 5863.10ms| tok/sec 89421.57
step  223 | loss: 5.906944| lr 5.9983e-04  |norm: 0.4161 | dt: 5857.34ms| tok/sec 89509.52
step  224 | loss: 5.922360| lr 5.9982e-04  |norm: 0.4759 | dt: 5780.69ms| tok/sec 90696.48
step  225 | loss: 5.921779| lr 5.9982e-04  |norm: 0.5721 | dt: 5975.14ms| tok/sec 87744.91
step  226 | loss: 5.893272| lr 5.9982e-04  |norm: 0.8020 | dt: 6013.98ms| tok/sec 87178.24
step  227 | loss: 5.999870| lr 5.9982e-04  |norm: 0.6289 | dt: 5880.81ms| tok/sec 89152.30
step  228 | loss: 5.913178| lr 5.9982e-04  |norm: 0.5870 | dt: 5860.37ms| tok/sec 89463.25
step  229 | loss: 5.909900| lr 5.9982e-04  |norm: 0.6715 | dt: 5875.59ms| tok/sec 89231.60
step  230 | loss: 5.934593| lr 5.9981e-04  |norm: 0.6510 | dt: 5843.60ms| tok/sec 89719.98
step  231 | loss: 5.880706| lr 5.9981e-04  |norm: 0.5319 | dt: 5853.41ms| tok/sec 89569.64
step  232 | loss: 6.057035| lr 5.9981e-04  |norm: 0.4501 | dt: 5861.24ms| tok/sec 89449.99
step  233 | loss: 6.059531| lr 5.9981e-04  |norm: 0.5078 | dt: 5888.42ms| tok/sec 89037.19
step  234 | loss: 6.051867| lr 5.9981e-04  |norm: 0.3577 | dt: 5847.77ms| tok/sec 89656.08
step  235 | loss: 6.061984| lr 5.9981e-04  |norm: 0.4354 | dt: 5843.79ms| tok/sec 89717.19
step  236 | loss: 6.073246| lr 5.9980e-04  |norm: 0.4558 | dt: 5886.86ms| tok/sec 89060.75
step  237 | loss: 6.059892| lr 5.9980e-04  |norm: 0.4320 | dt: 5860.71ms| tok/sec 89458.06
step  238 | loss: 6.015548| lr 5.9980e-04  |norm: 0.4761 | dt: 5844.34ms| tok/sec 89708.63
step  239 | loss: 6.013737| lr 5.9980e-04  |norm: 0.4962 | dt: 5847.90ms| tok/sec 89654.07
